KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
539104,Bojanovice,372,268,267,,,,,,,,,,,,,,,,,,,,,,,,,,
571199,Brat¯Ìnov,149,121,121,,,,,,,,,,,,,,,,,,,,,,,,,,
599735,B¯ezov·-Oleöko,869,632,630,,,,,,,,,,,,,,,,,,,,,,,,,,
540048,Buö,281,208,207,,,,,,,,,,,,,,,,,,,,,,,,,,
539121,»ernolice,328,251,248,,,,,,,,,,,,,,,,,,,,,,,,,,
539139,»ernoöice,5 206,3 964,3 945,,,,,,,,,,,,,,,,,,,,,,,,,,
532215,»erven˝ ⁄jezd,964,663,661,,,,,,,,,,,,,,,,,,,,,,,,,,
539147,»ÌËovice,235,162,160,,,,,,,,,,,,,,,,,,,,,,,,,,
539155,»isovice,843,562,556,,,,,,,,,,,,,,,,,,,,,,,,,,
539163,Davle,1 262,874,867,,,,,,,,,,,,,,,,,,,,,,,,,,
539171,DobrovÌz,435,302,299,,,,,,,,,,,,,,,,,,,,,,,,,,
539180,Dob¯ÌË,252,197,191,,,,,,,,,,,,,,,,,,,,,,,,,,
539198,Dob¯ichovice,2 738,2 059,2 049,,,,,,,,,,,,,,,,,,,,,,,,,,
539210,DolnÌ B¯eûany,2 635,1 981,1 963,,,,,,,,,,,,,,,,,,,,,,,,,,
531146,DrahelËice,653,451,449,,,,,,,,,,,,,,,,,,,,,,,,,,
539228,Holubice,1 237,852,850,,,,,,,,,,,,,,,,,,,,,,,,,,
539236,HoromÏ¯ice,2 610,1 837,1 826,,,,,,,,,,,,,,,,,,,,,,,,,,
539244,Hostivice,5 723,3 897,3 872,,,,,,,,,,,,,,,,,,,,,,,,,,
539252,Hradiötko,1 622,1 147,1 136,,,,,,,,,,,,,,,,,,,,,,,,,,
539261,Hvozdnice,381,290,287,,,,,,,,,,,,,,,,,,,,,,,,,,
539287,ChoteË,279,173,171,,,,,,,,,,,,,,,,,,,,,,,,,,
539295,Chr·öùany,647,410,408,,,,,,,,,,,,,,,,,,,,,,,,,,
539309,Ch˝nÏ,1 711,1 278,1 273,,,,,,,,,,,,,,,,,,,,,,,,,,
513431,Ch˝nice,280,224,223,,,,,,,,,,,,,,,,,,,,,,,,,,
539317,JeneË,1 000,636,632,,,,,,,,,,,,,,,,,,,,,,,,,,
539325,Jesenice,5 552,3 996,3 980,,,,,,,,,,,,,,,,,,,,,,,,,,
539333,JÌlovÈ u Prahy,3 530,2 314,2 304,,,,,,,,,,,,,,,,,,,,,,,,,,
539341,JÌloviötÏ,513,384,379,,,,,,,,,,,,,,,,,,,,,,,,,,
539350,JinoËany,1 282,863,855,,,,,,,,,,,,,,,,,,,,,,,,,,
539368,Kamenn˝ P¯Ìvoz,1 121,669,663,,,,,,,,,,,,,,,,,,,,,,,,,,
599727,KarlÌk,359,268,268,,,,,,,,,,,,,,,,,,,,,,,,,,
571211,KlÌnec,538,389,385,,,,,,,,,,,,,,,,,,,,,,,,,,
539384,KnÏûeves,453,337,334,,,,,,,,,,,,,,,,,,,,,,,,,,
539392,Koso¯,661,437,436,,,,,,,,,,,,,,,,,,,,,,,,,,
571261,KytÌn,440,338,334,,,,,,,,,,,,,,,,,,,,,,,,,,
539406,Lety,1 088,820,805,,,,,,,,,,,,,,,,,,,,,,,,,,
539414,LibËice nad Vltavou,2 587,1 583,1 577,,,,,,,,,,,,,,,,,,,,,,,,,,
539422,Libe¯,1 091,766,760,,,,,,,,,,,,,,,,,,,,,,,,,,
571326,Lichoceves,291,190,188,,,,,,,,,,,,,,,,,,,,,,,,,,
539457,LÌönice,542,383,382,,,,,,,,,,,,,,,,,,,,,,,,,,
539490,MÏchenice,621,452,451,,,,,,,,,,,,,,,,,,,,,,,,,,
540765,MnÌöek pod Brdy,4 299,2 927,2 904,,,,,,,,,,,,,,,,,,,,,,,,,,
531618,NuËice,1 519,1 023,1 012,,,,,,,,,,,,,,,,,,,,,,,,,,
539503,Ohrobec,953,712,710,,,,,,,,,,,,,,,,,,,,,,,,,,
571334,Oko¯,84,53,50,,,,,,,,,,,,,,,,,,,,,,,,,,
539511,Okrouhlo,539,383,382,,,,,,,,,,,,,,,,,,,,,,,,,,
539520,O¯ech,732,522,519,,,,,,,,,,,,,,,,,,,,,,,,,,
539546,Petrov,543,371,369,,,,,,,,,,,,,,,,,,,,,,,,,,
539562,Poho¯Ì,284,185,183,,,,,,,,,,,,,,,,,,,,,,,,,,
539571,Pr˘honice,1 811,1 383,1 375,,,,,,,,,,,,,,,,,,,,,,,,,,
539597,Ps·ry,2 863,1 951,1 942,,,,,,,,,,,,,,,,,,,,,,,,,,
532789,Ptice,615,452,450,,,,,,,,,,,,,,,,,,,,,,,,,,
571318,RoblÌn,175,131,130,,,,,,,,,,,,,,,,,,,,,,,,,,
539627,Roztoky,5 782,4 230,4 196,,,,,,,,,,,,,,,,,,,,,,,,,,
531723,Rudn·,3 629,2 471,2 449,,,,,,,,,,,,,,,,,,,,,,,,,,
539643,ÿevnice,2 699,1 905,1 894,,,,,,,,,,,,,,,,,,,,,,,,,,
539651,ÿitka,890,633,629,,,,,,,,,,,,,,,,,,,,,,,,,,
539660,Slapy,707,495,490,,,,,,,,,,,,,,,,,,,,,,,,,,
539686,Statenice,1 019,681,677,,,,,,,,,,,,,,,,,,,,,,,,,,
539708,St¯edokluky,834,584,581,,,,,,,,,,,,,,,,,,,,,,,,,,
571342,SvrkynÏ,233,153,152,,,,,,,,,,,,,,,,,,,,,,,,,,
539732,ätÏchovice,1 504,1 031,1 026,,,,,,,,,,,,,,,,,,,,,,,,,,
531821,Tachlovice,754,484,482,,,,,,,,,,,,,,,,,,,,,,,,,,
598313,Trnov·,215,163,163,,,,,,,,,,,,,,,,,,,,,,,,,,
539759,T¯ebotov,1 048,744,740,,,,,,,,,,,,,,,,,,,,,,,,,,
539767,TuchomÏ¯ice,1 017,721,715,,,,,,,,,,,,,,,,,,,,,,,,,,
539775,Tursko,617,392,390,,,,,,,,,,,,,,,,,,,,,,,,,,
571351,⁄holiËky,582,402,400,,,,,,,,,,,,,,,,,,,,,,,,,,
532991,⁄honice,872,604,595,,,,,,,,,,,,,,,,,,,,,,,,,,
539805,⁄nÏtice,501,393,391,,,,,,,,,,,,,,,,,,,,,,,,,,
539813,VelkÈ P¯Ìlepy,2 195,1 602,1 588,,,,,,,,,,,,,,,,,,,,,,,,,,
513458,Vestec,1 421,1 036,1 032,,,,,,,,,,,,,,,,,,,,,,,,,,
539830,Vonoklasy,426,305,304,,,,,,,,,,,,,,,,,,,,,,,,,,
539848,VranÈ nad Vltavou,1 964,1 313,1 307,,,,,,,,,,,,,,,,,,,,,,,,,,
539856,Vöenory,1 293,929,916,,,,,,,,,,,,,,,,,,,,,,,,,,
571288,Zaho¯any,239,171,169,,,,,,,,,,,,,,,,,,,,,,,,,,
539872,Zbuzany,854,598,591,,,,,,,,,,,,,,,,,,,,,,,,,,
539881,ZlatnÌky-Hodkovice,982,660,655,,,,,,,,,,,,,,,,,,,,,,,,,,
539902,Zvole,1 284,944,934,,,,,,,,,,,,,,,,,,,,,,,,,,
